Project,HoleID,SampleID,Paired_SampleID,General_control,Control_type,Au_Element,Au_unit,Au_DL,Au_EV,Au_SD,Au_or_ppm,Au_dp_ppm,Ag_Element,Ag_unit,Ag_DL,Ag_EV,Ag_SD,Lab,Batchname,Date
Celeste,DDH85-149,Q633440,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150347,2013-08-31
Celeste,DDH85-155,Q633500,,Blank,CB,Au,ppm,0.005,,,0.008,,Ag,ppm,0.5,,,ALS,YW13150347,2013-08-31
Celeste,DDH85-157,Q633520,,Blank,CB,Au,ppm,0.005,,,0.009,,Ag,ppm,0.5,,,ALS,YW13150347,2013-08-31
Celeste,DDH85-159,Q633540,,Blank,CB,Au,ppm,0.005,,,0.005,,Ag,ppm,0.5,,,ALS,YW13150347,2013-08-31
Celeste,DDH85-161,Q633560,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150347,2013-08-31
Celeste,DDH85-166,Q633620,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150347,2013-08-31
Celeste,DDH85-170,Q633662,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150346,2013-09-02
Celeste,DDH85-172,Q633680,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150346,2013-09-02
Celeste,DDH85-175,Q633740,,Blank,CB,Au,ppm,0.005,,,0.006,,Ag,ppm,0.5,,,ALS,YW13150346,2013-09-02
Celeste,DDH85-180,Q633800,,Blank,CB,Au,ppm,0.005,,,0.007,,Ag,ppm,0.5,,,ALS,YW13150346,2013-09-02
Celeste,DDH85-181,Q633820,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150346,2013-09-02
Celeste,DDH85-183,Q633840,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150345,2013-08-30
Celeste,DDH85-185,Q633860,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150345,2013-08-30
Celeste,DDH85-190,Q633940,,Blank,CB,Au,ppm,0.005,,,0.008,,Ag,ppm,0.5,,,ALS,YW13150345,2013-08-30
Celeste,DDH85-190,Q633960,,Blank,CB,Au,ppm,0.005,,,0.0025,,Ag,ppm,0.5,,,ALS,YW13150345,2013-08-30
Celeste,DDH85-120,Q633120,,CRM,GS-20A,Au,ppm,0.005,21.12,0.77,21.6,,Ag,ppm,0.5,,,ALS,YW13137034,2013-08-20
Celeste,DDH85-123,Q633160,,CRM,GS-20A,Au,ppm,0.005,21.12,0.77,25.5,,Ag,ppm,0.5,,,ALS,YW13137034,2013-08-20
Celeste,DDH85-127,Q633200,,CRM,GS-20A,Au,ppm,0.005,21.12,0.77,17.05,,Ag,ppm,0.5,,,ALS,YW13137034,2013-08-20
Celeste,DDH85-130,Q633240,,CRM,GS-20A,Au,ppm,0.005,21.12,0.77,19.3,,Ag,ppm,0.5,,,ALS,YW13137034,2013-08-20
